chid,top1,top2,top3
10128239,37,25,18
10077943,36,15,13
10277876,15,36,37
10364842,37,10,2
10392717,48,15,2
10439550,2,18,36
10285755,39,19,15
10335334,12,36,19
10072243,13,18,36
10274006,12,48,37
10486057,10,12,13
10267061,37,6,19
10155521,10,21,2
10492056,48,2,13
10041396,15,36,37
10110428,22,2,37
10275772,10,37,2
10279082,48,13,18
10401715,37,2,21
10331688,10,13,36
10328505,25,48,2
10055200,10,15,48
10120274,36,12,37
10271057,25,37,2
10293065,36,21,48
10229679,37,36,12
10309790,48,10,21
10042603,37,36,15
10326272,37,6,15
10202622,37,15,21
10398423,37,21,12
10496304,22,15,19
10341585,37,25,15
10054933,15,37,12
10457345,10,37,36
10373788,13,18,36
10135202,2,15,10
10088909,25,26,15
10215661,25,36,37
10328517,21,37,15
10161890,13,2,15
10051474,37,13,18
